document ID:        1  2  3  4  5  6  7  8  9  10  
AMAZONIAN           0  1  0  0  1  0  0  0  0  0  
AMBASSADOR          0  1  1  0  0  1  1  1  1  1  
AMBASSADORS         0  1  1  0  0  1  1  1  1  1  
AMBIGUITIES         0  0  0  0  0  0  0  0  1  0  
AMBITION            1  0  1  1  0  1  1  1  1  1  
AMBITIONS           0  0  0  0  0  1  0  0  0  1  
AMBITIOUS           0  1  1  1  1  0  0  0  1  1  
AMBITIOUSLY         0  0  0  0  0  0  0  0  0  1  
AMBLED              0  0  0  0  0  0  1  0  0  0  
AMBLES              0  0  0  1  0  0  0  0  0  0  
AMBUSH              1  1  1  0  0  1  0  0  0  0  
AMEN                1  0  1  1  1  1  1  0  1  0  
AMEND               0  0  0  0  0  1  1  1  0  0  
AMENDED             0  0  1  0  1  0  0  0  0  0  
AMENDMENT           1  0  0  0  0  0  1  0  0  0  
AMENDS              1  1  0  1  0  1  0  0  0  0  
AMERICA             0  0  0  0  1  0  0  0  0  0  
AMES                1  0  0  0  0  0  0  0  0  0  
AMIENS              0  0  0  1  0  0  0  0  0  0  
AMIS                1  0  0  0  0  0  0  1  0  0  
AMISS               1  1  1  1  0  0  1  1  0  1  
AMITIES             0  0  0  0  0  0  1  0  0  0  
AMITY               1  1  1  0  0  0  0  1  1  1  
AMONG               1  1  1  1  1  1  1  1  1  1  
AMONGST             1  1  0  1  1  1  1  1  1  1  
AMOROUS             0  0  1  0  0  0  0  0  0  0  
AMORT               0  0  0  0  0  0  0  0  0  1  
AMOUNT              0  1  0  1  1  0  0  0  1  0  
AMOUNTS             0  0  1  0  0  0  0  0  0  0  
AMOUR               0  0  0  0  0  0  0  0  1  0  
AMPLE               0  0  1  0  1  0  0  1  1  0  
AMPLEST             1  0  0  0  0  0  0  0  0  0  
AMPLIFIED           0  0  0  0  0  1  0  0  0  0  
AMPLIFY             0  0  0  0  0  1  0  0  0  0  
AMPLY               0  0  0  0  0  0  0  0  1  0  
AMURATH             0  0  0  0  0  0  0  1  0  0  
AMYNTAS             0  0  1  0  0  0  0  0  0  0  
AN                  1  1  1  1  1  1  1  1  1  1  
ANATOMIZ            0  0  0  1  0  0  0  0  0  0  
ANATOMIZE           0  0  0  1  0  0  0  1  0  0  
ANATOMIZED          0  0  1  0  0  0  0  0  0  0  
ANATOMY             0  0  0  0  1  0  0  0  0  0  
ANCESTOR            0  0  0  1  1  1  0  0  0  0  
ANCESTORS           0  0  1  0  0  1  1  1  1  0  
ANCESTRY            0  1  0  0  0  1  0  0  0  0  
ANCHIENT            0  0  0  0  0  0  0  0  1  0  
ANCHISES            0  1  0  0  0  0  0  0  0  0  
ANCHOR              0  1  1  0  0  0  0  0  0  0  
ANCHORED            1  0  0  0  0  0  0  0  0  0  
ANCHORS             0  0  0  0  0  0  0  0  0  1  
ANCHOVIES           0  0  0  0  0  0  1  0  0  0  
ANCIENT             0  0  1  0  1  1  1  1  1  1  
ANCIENTS            0  0  0  0  0  0  0  1  0  0  
ANCUS               0  0  0  0  1  0  0  0  0  0  
AND                 1  1  1  1  1  1  1  1  1  1  
ANDIRONS            0  0  0  0  0  1  0  0  0  0  
ANDREN              0  1  0  0  0  0  0  0  0  0  
ANDRONICUS          1  0  0  0  0  0  0  0  0  0  
ANEW                1  0  0  0  0  0  0  1  0  1  
ANG                 0  0  0  0  0  1  0  1  0  0  
ANGEL               1  0  1  0  1  1  1  1  1  0  
ANGELO              0  0  0  1  1  0  0  0  0  0  
ANGELS              1  0  0  0  1  1  1  1  0  0  
ANGER               1  1  1  1  1  1  1  1  1  0  
ANGERS              0  0  0  0  0  0  1  0  1  0  
ANGES               0  0  0  0  0  0  0  0  1  0  
ANGIERS             0  0  0  0  0  0  0  0  0  1  
ANGLAIS             0  0  0  0  0  0  0  0  1  0  
ANGLE               0  0  1  0  0  0  1  1  0  0  
